Project_ID,Project_Title,Current_IH_Business_Area,Updated_Business_Area,Intake_Hub_URL
45,DSD: Priority Pass - Original,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/45
1161,APD,Ops A&S Digital,Ops A&S Digital,https://hoops.wal-mart.com/intake-hub/projects/1161
1352,GM Donations,Foundation,Foundation,https://hoops.wal-mart.com/intake-hub/projects/1352
1554,Zipline Drone Launch,Ops A&S Digital,Ops A&S Digital,https://hoops.wal-mart.com/intake-hub/projects/1554
1925,Internalize Parcel (FC to Store Delivery),Ops A&S Digital,Ops A&S Digital,https://hoops.wal-mart.com/intake-hub/projects/1925
4275,RFID Fixed Infrastructure,Ops Business Community,Ops Business Community,https://hoops.wal-mart.com/intake-hub/projects/4275
6432,Firefly - Pallet Tracking - Phase 2,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/6432
7446,Intake Hub Feedback & Updates - Do Not Archive,Ops A&S Front End,Ops A&S Front End,https://hoops.wal-mart.com/intake-hub/projects/7446
7508,RFID - AP Tracking,Asset Protection,Asset Protection,https://hoops.wal-mart.com/intake-hub/projects/7508
7512,Sidekick 3rd Shift (D1/SC),Ops Business Community,Ops Business Community,https://hoops.wal-mart.com/intake-hub/projects/7512
8683,Community Recycling Unit (CRU3),Ops Business Community,Ops Business Community,https://hoops.wal-mart.com/intake-hub/projects/8683
8918,Entertainment Security Cage Aisle Location,Ops A&S GM Salesfloor,Ops A&S GM Salesfloor,https://hoops.wal-mart.com/intake-hub/projects/8918
8927,Store Use Propane Cage Bluetooth Lock,Ops A&S Backroom/Claims,Ops A&S Backroom/Claims,https://hoops.wal-mart.com/intake-hub/projects/8927
10010,Pick To Light,Ops A&S Digital,Ops A&S Digital,https://hoops.wal-mart.com/intake-hub/projects/10010
11090,Blank Beauty Instock Kiosk,Ops A&S Grocery Salesfloor,Ops A&S Grocery Salesfloor,https://hoops.wal-mart.com/intake-hub/projects/11090
11095,Wing Drone Launch,Ops A&S Digital,Ops A&S Digital,https://hoops.wal-mart.com/intake-hub/projects/11095
11166,RFID GM Expansion - Home Departments,Ops Business Community,Ops Business Community,https://hoops.wal-mart.com/intake-hub/projects/11166
11177,Simplified Food Waste Recycling,Compliance/Legal,Compliance/Legal,https://hoops.wal-mart.com/intake-hub/projects/11177
11218,DSD - Delivery Notifications - Frito Lay,Ops Business Community,Ops Business Community,https://hoops.wal-mart.com/intake-hub/projects/11218
11259,Digital Shelf Label (DSL) -- GEN 3,Ops Business Community,Ops Business Community,https://hoops.wal-mart.com/intake-hub/projects/11259
11261,FY25 InHome Launches,Ops A&S Digital,Ops A&S Digital,https://hoops.wal-mart.com/intake-hub/projects/11261
11271,Parking Lot Trash Bin Removal,Utilities,Utilities,https://hoops.wal-mart.com/intake-hub/projects/11271
11272,Go Team  - Simulated ATF Inspection,Compliance/Legal,Compliance/Legal,https://hoops.wal-mart.com/intake-hub/projects/11272
11299,Breakroom Reinvention,Retail Services,Retail Services,https://hoops.wal-mart.com/intake-hub/projects/11299
11322,D94 Evaporation Loss,Ops A&S Grocery Salesfloor,Ops A&S Grocery Salesfloor,https://hoops.wal-mart.com/intake-hub/projects/11322
11340,Body Worn Cameras,Safety  & Asset Protection,Safety  & Asset Protection,https://hoops.wal-mart.com/intake-hub/projects/11340
11352,Front End Innovation - Virtual Assistant,Ops A&S Front End,Ops A&S Front End,https://hoops.wal-mart.com/intake-hub/projects/11352
11358,DSD: Backroom Space - CSD Suppliers,Ops A&S Backroom/Claims,Ops A&S Backroom/Claims,https://hoops.wal-mart.com/intake-hub/projects/11358
11392,GMD Same Day Ordering Cut-Off Extension-2:30pm,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/11392
11395,Customer Value Program (CVP) Sell-Through POC,Ops A&S Grocery Salesfloor,Ops A&S Grocery Salesfloor,https://hoops.wal-mart.com/intake-hub/projects/11395
11462,Fresh RFID Enabled CVP,Ops A&S Front End,Ops A&S Front End,https://hoops.wal-mart.com/intake-hub/projects/11462
11466,RFID GM Expansion - Sporting Goods D9,Ops Business Community,Ops Business Community,https://hoops.wal-mart.com/intake-hub/projects/11466
11477,Valley Sequencing/Stock Me for Freezer and Dairy/Deli,Product,Product,https://hoops.wal-mart.com/intake-hub/projects/11477
11488,Hands Free RFID: Self-Guided,Ops Business Community,Ops Business Community,https://hoops.wal-mart.com/intake-hub/projects/11488
